key_resp.keys,key_resp.corr,tilt,,hit,miss,fa,cr
up,1,0,,,1,,
down,0,3,,,,,
down,0,4,,,,,
up,1,0,,,1,,
down,0,3,,,,,
up,1,0,,,1,,
down,0,2,,,,,
up,1,0,,,1,,
down,0,1,,,,,
up,1,0,,,1,,
down,0,2,,,,,
up,1,-5,,1,,,
down,0,-1,,,,,
up,1,0,,,1,,
up,1,-1,,1,,,
up,1,0,,,1,,
up,1,0,,,1,,
up,1,0,,,1,,
down,0,-2,,,,,
up,1,0,,,1,,
up,1,2,,1,,,
down,0,0,,,,1,1
up,1,0,,,1,,
up,1,0,,,1,,
up,1,3,,1,,,
up,1,-3,,1,,,
down,0,1,,,,,
up,1,2,,1,,,
up,1,0,,,1,,
down,0,4,,,,,
up,1,0,,,1,,
down,0,2,,,,,
up,1,4,,1,,,
up,1,3,,1,,,
down,0,0,,,,1,1
down,0,-3,,,,,
down,0,-4,,,,,
down,0,0,,,,1,1
up,1,0,,,1,,
up,1,0,,,1,,
up,1,0,,,1,,
up,1,0,,,1,,
down,0,0,,,,1,1
up,1,0,,,1,,
up,1,-4,,1,,,
up,1,4,,1,,,
down,0,2,,,,,
up,1,-3,,1,,,
down,0,0,,,,1,1
up,1,0,,,1,,
up,1,0,,,1,,
down,0,-2,,,,,
down,0,0,,,,1,1
up,1,-5,,1,,,
down,0,0,,,,1,1
down,0,0,,,,1,1
down,0,0,,,,1,1
down,0,-2,,,,,
up,1,3,,1,,,
up,1,0,,,1,,
up,1,0,,,1,,
up,1,0,,,1,,
up,1,1,,1,,,
down,0,0,,,,1,1
down,0,0,,,,1,1
up,1,4,,1,,,
down,0,0,,,,1,1
up,1,0,,,1,,
up,1,-1,,1,,,
down,0,-5,,,,,
down,0,-5,,,,,
up,1,-2,,1,,,
up,1,-3,,1,,,
down,0,0,,,,1,1
down,0,-3,,,,,
down,0,-4,,,,,
down,0,-1,,,,,
down,0,0,,,,1,1
up,1,-3,,1,,,
up,1,0,,,1,,
up,1,3,,1,,,
down,0,-4,,,,,
up,1,4,,1,,,
up,1,-5,,1,,,
up,1,3,,1,,,
up,1,2,,1,,,
up,1,2,,1,,,
up,1,0,,,1,,
up,1,-2,,1,,,
up,1,0,,,1,,
up,1,0,,,1,,
up,1,0,,,1,,
up,1,0,,,1,,
up,1,0,,,1,,
up,1,0,,,1,,
down,0,0,,,,1,1
down,0,0,,,,1,1
up,1,0,,,1,,
up,1,0,,,1,,
down,0,-3,,,,,
,,,,26,35,16,16
